date,source,tocurrency,rate
2007-10-22,USD,INR,39.794105
2007-10-23,USD,INR,39.532277
2007-10-24,USD,INR,39.482078
2007-10-25,USD,INR,39.376269
2007-10-26,USD,INR,39.285375
2007-10-27,USD,INR,39.392749
2007-10-28,USD,INR,39.304874
2007-10-29,USD,INR,39.336275
2007-10-30,USD,INR,39.286141
2007-10-31,USD,INR,39.249712
2007-11-01,USD,INR,39.241857
2007-11-02,USD,INR,39.277787
2007-11-03,USD,INR,39.293355
2007-11-04,USD,INR,39.293355
2007-11-05,USD,INR,39.235853
2007-11-06,USD,INR,39.237593
2007-11-07,USD,INR,39.190865
2007-11-08,USD,INR,39.21764
2007-11-09,USD,INR,39.105545
2007-11-10,USD,INR,39.137643
2007-11-11,USD,INR,39.137643
2007-11-12,USD,INR,39.283778
2007-11-13,USD,INR,39.296975
2007-11-14,USD,INR,39.21661
2007-11-15,USD,INR,39.217154
2007-11-16,USD,INR,39.233587
2007-11-17,USD,INR,39.212245
2007-11-18,USD,INR,39.212245
2007-11-19,USD,INR,39.259872
2007-11-20,USD,INR,39.296428
2007-11-21,USD,INR,39.30608
2007-11-22,USD,INR,39.385291
2007-11-23,USD,INR,39.656453
2007-11-24,USD,INR,39.690755
2007-11-25,USD,INR,39.690755
2007-11-26,USD,INR,39.620706
2007-11-27,USD,INR,39.681112
2007-11-28,USD,INR,39.652162
2007-11-29,USD,INR,39.674208
2007-11-30,USD,INR,39.544402
2007-12-01,USD,INR,39.575234
2007-12-02,USD,INR,39.575234
2007-12-03,USD,INR,39.449696
2007-12-04,USD,INR,39.345912
2007-12-05,USD,INR,39.351781
2007-12-06,USD,INR,39.389128
2007-12-07,USD,INR,39.356845
2007-12-08,USD,INR,39.303066
2007-12-09,USD,INR,39.303066
2007-12-10,USD,INR,39.311256
2007-12-11,USD,INR,39.285162
2007-12-12,USD,INR,39.301323
2007-12-13,USD,INR,39.320361
2007-12-14,USD,INR,39.302962
2007-12-15,USD,INR,39.30983
2007-12-16,USD,INR,39.30983
2007-12-17,USD,INR,39.486715
2007-12-18,USD,INR,39.48427
2007-12-19,USD,INR,39.537251
2007-12-20,USD,INR,39.431781
2007-12-21,USD,INR,39.342666
2007-12-22,USD,INR,39.41089
2007-12-23,USD,INR,39.41089
2007-12-24,USD,INR,39.35265
2007-12-25,USD,INR,39.330123
2007-12-26,USD,INR,39.357779
2007-12-27,USD,INR,39.331793
2007-12-28,USD,INR,39.370151
2007-12-29,USD,INR,39.356331
2007-12-30,USD,INR,39.356331
2007-12-31,USD,INR,39.35394
